,age_days,num_mementos
506,344,3
507,154,35
508,54,3
509,3978,88
510,23,6
511,2,1
512,0,0
513,2,1
514,11,1
515,2978,48
516,2,1
517,1,1
518,2,1
519,5,2
520,594,717
521,0,0
522,2,1
523,2,1
524,5,1
525,2,1
526,13,1
527,123,1
528,0,0
529,0,0
530,0,0
531,2,2
532,54,2
533,2,1
534,1636,182
535,739,19
536,0,0
537,0,0
538,0,0
539,3085,28617
540,3169,5379
541,1,2
542,8584,175
543,224,3
544,195,239
545,0,0
546,0,0
547,0,0
548,10,1
549,2,1
550,6309,2472
551,0,0
552,19,2
553,1049,33
554,0,0
555,1342,109
556,10093,10694
557,0,0
558,126,1
559,5,5
560,1617,86
561,53,1
562,3,1
563,2,1
564,3029,98
565,0,0
566,8350,411
567,519,10
568,0,0
569,606,17
570,0,0
571,11,15
572,2,7
573,0,0
574,0,0
575,1244,5
576,2,3
577,6037,52
578,9441,2817
579,2,1
580,2,1
581,0,0
582,0,0
583,0,0
584,0,0
585,0,0
586,1,1
587,0,0
588,3973,298
589,0,0
590,2,1
591,2,1
592,0,0
593,4,3
594,3,13
595,1350,400
596,1350,400
597,1350,400
598,10214,232180
599,3,4
600,0,0
601,0,0
602,0,0
603,140,33
604,4,3
605,2254,35
606,0,0
607,0,0
608,0,0
609,0,0
610,20,5
611,2704,31
612,2253,66
613,0,0
614,134,2
615,0,0
616,3,2
617,0,0
618,1,1
619,0,0
620,0,0
621,8815,261
622,61,4
623,0,0
624,1,1
625,28,2
626,580,1
627,4295,98
628,0,0
629,0,0
630,0,0
631,536,8
632,161,9
633,1750,7
634,340,8
635,2,1
636,0,0
637,0,0
638,1,1
639,891,7
640,2,1
641,342,31
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,3295,3
655,2,2
656,1,1
657,53,2
658,0,0
659,0,0
660,4,1
661,2,1
662,9653,252943
663,1,3
664,3,4
665,3,1
666,0,0
667,2,7
668,2,10
669,0,0
670,0,0
671,0,0
672,0,0
673,58,8
674,1599,9
675,132,2
676,154,33
677,106,1
678,3,1
679,5753,29136
680,3226,84
681,1127,1
682,850,2
683,0,0
684,1348,1
685,980,2
686,1436,2
687,1470,2
688,1416,1
689,2,1
690,8617,307
691,0,0
692,0,0
693,0,0
694,3,1
695,2,1
696,0,0
697,0,0
698,7,1
699,53,1
700,8,1
701,6326,483904
702,2,1
703,0,0
704,0,0
705,2,2
706,1366,3
707,0,0
708,0,0
709,2,1
710,0,0
711,0,0
712,1368,4
713,757,1
714,0,0
715,1471,13
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,2,2
726,0,0
727,0,0
728,192,2
729,0,0
730,0,0
731,1,2
732,3,13
733,0,0
734,5454,127
735,2,8
736,0,0
737,0,0
738,2,2
739,0,0
740,1,1
741,28,11
742,6952,4914
743,12,2
744,3,2
745,138,4
746,30,1
747,2,1
748,0,0
749,0,0
750,97,6
751,1,1
752,0,0
753,0,0
754,0,0
755,0,0
756,1,1
757,0,0
758,2,1
759,0,0
760,2738,1651
761,0,0
762,0,0
763,5,2
764,5195,286
765,463,4
766,29,1
767,0,0
768,253,24
769,0,0
770,0,0
771,53,852
772,551,1367
773,138,3
774,3469,22
775,17,6
776,89,6
777,3559,400
778,3559,400
779,3559,400
780,3559,400
781,3559,400
782,3559,400
783,0,0
784,5,4
785,2,2
786,2,1
787,1037,65
788,0,0
789,0,0
790,1240,23
791,194,23
792,194,25
793,0,0
794,0,0
795,2,1
796,0,0
797,54,1
798,2,1
799,3,13
800,0,0
801,2,1
802,342,4
803,2,3
804,0,0
805,0,0
806,1436,13
807,0,0
808,21,2
809,53,1
810,7,1
811,0,0
812,0,0
813,0,0
814,1477,8
815,2,1
816,916,11
817,1030,25
818,994,12
819,51,3
820,1,1
821,9304,5
822,1246,10
823,2,1
824,2,7
825,1889,77
826,33,2
827,2108,2815
828,125,1
829,1293,198
830,1441,10382
831,503,31
832,0,0
833,0,0
834,2,7
835,0,0
836,6671,294
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,2,1
854,2,1
855,1501,1380
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,4,17
884,7807,87521
885,1,1
886,10147,197561
887,0,0
888,631,41
889,576,1
890,136,2
891,0,0
892,9797,9809
893,502,2
894,0,0
895,0,0
896,7151,36405
897,20,1
898,0,0
899,2,12
900,0,0
901,2,1
902,137,1
903,0,0
904,29,1
905,0,0
906,0,0
907,951,21
908,86,3
909,137,4
910,653,2
911,1514,12
912,0,0
913,2,1
914,0,0
915,1,2
916,1438,3
917,3,4
918,52,1
919,52,1
920,0,0
921,2,1
922,130,1
923,0,0
924,0,0
925,0,0
926,2392,4054
927,0,0
928,0,0
929,89,8
930,112,3
931,1438,15
932,0,0
933,0,0
934,0,0
935,0,0
936,4755,1628
937,3524,6404
938,7596,82
939,9431,26006
940,4996,442
941,2980,46
942,1,2
943,1446,83
944,2,1
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0,0
952,10143,717
953,42,8
954,3,1
955,472,2
956,2016,71
957,0,0
958,0,0
959,2,1
960,8102,9551
961,7,1
962,1360,2
963,0,0
964,3212,29
965,0,0
966,1,2
967,0,0
968,1,1
969,0,0
970,0,0
971,0,0
972,0,0
973,1,1
974,0,0
975,6142,171
976,0,0
977,0,0
978,3,8
979,2,3
980,2,1
981,0,0
982,0,0
983,0,0
984,0,0
985,67,2
986,3,1
987,0,0
988,0,0
989,0,0
990,1264,8
991,1,1
992,2,1
993,0,0
994,0,0
995,80,2
996,1417,12
997,0,0
998,1239,16
999,0,0
1000,217,10
1001,1,2
1002,1914,24
1003,136,4
1004,137,1
1005,17,8
1006,609,2
1007,31,5
1008,2,1
1009,2,1
1010,71,23
1011,1159,12
1012,2,1
1013,1230,56
1014,1,1
1015,10152,22167
1016,3,1
1017,726,46
1018,4603,9470
1019,0,0
1020,2,1
1021,2,1
1022,10144,48488
1023,5,53
1024,691,2983
1025,584,13
1026,0,0
1027,3,6
1028,2,12
1029,2,1
1030,557,2053
1031,30,12
1032,221,15
1033,2,5
1034,54,6
1035,0,0
1036,0,0
1037,0,0
1038,0,0
1039,0,0
1040,1634,37
1041,567,4
1042,4990,17
1043,1,1
1044,0,0
1045,2,1
